会社コード,業種名,和文社名,住所,電話,設立年月,lat,lon
760,機械,エピロックジャパン（株）,神奈川県横浜市都筑区川和町５０－１,045-933-6315,197906,35.5184558,139.5525155
2660,化学,東レ・デュポン（株）,東京都中央区日本橋本町１－１－１　ＭＥＴＬＩＦＥ日本橋本町ビル,03-3245-5081,196406,35.6850578,139.7764718
7840,電気機器卸売,（株）フィリップス・ジャパン,東京都港区港南２－１３－３７　フィリップスビル,03-3740-5112,195307,35.6281599,139.7451647
11530,機械,イートン（株）,東京都港区赤坂８－１１－３７　いちご乃木坂ビル,03-5786-2560,197410,35.6686445,139.7273141
100069,金属製品,プラクスエア工学（株）,埼玉県さいたま市浦和区高砂２－１－１６　浦和大熊ビル２階,048-825-7894,196006,35.8568134,139.6545953
100823,通信・放送,オレンジ・ジャパン（株）,東京都港区虎ノ門４－３－１　城山トラストタワー３４階,03-5733-9149,198905,35.6646397,139.7430889
100832,輸送用機器卸売,（株）マキシオンホイールズジャパン,神奈川県横浜市中区相生町６－１０４　横浜相生町ビル５階,045-680-5807,198710,35.4491344,139.6340913
101027,他製造業,メルセン・エフエムエー（株）,東京都新宿区西新宿２－７－１　小田急第一生命ビル１４階,03-5325-6311,198908,35.6915156,139.6913635
101097,他製造業,フレゼニウス川澄（株）,大分県豊後大野市犬飼町大寒３００,0975-78-1164,199005,33.0363987,131.6346626
103015,情報・システム・ソフト,エレクトロニック・アーツ（株）,東京都港区虎ノ門４－３－１　城山トラストタワー東京赤坂法律事務所内,－,199805,35.6646397,139.7430889
103143,他サービス,ウォルト・ディズニー・ジャパン（株）,東京都港区虎ノ門１－２３－１　虎ノ門ヒルズ森タワー,03-6752-2300,199105,35.6668216,139.7494178
104126,医薬品,東菱薬品工業（株）,東京都千代田区有楽町１－１０－１　有楽町ビル,03-3213-3771,195907,35.674941,139.7616168
104302,その他卸売,エイピーピー・ジャパン（株）,東京都品川区東五反田２－１０－２　東五反田スクエア１４階,03-5795-0021,199711,35.6247208,139.7272831
104515,その他卸売,メドトロニックソファモアダネック（株）,東京都港区港南１－２－７０　品川シーズンテラス,03-6774-4606,199601,35.6324899,139.743003
104523,貸金・信販・カード,ＣＦＪ合同会社,東京都新宿区新宿６－２７－３０　新宿イーストサイドスクエア８階,03-6776-8200,199506,35.696585,139.7088723
200306,医薬品卸売,ゲルベ・ジャパン（株）,東京都千代田区麹町６－４－６　ＴＳ麹町ＢＬＤＧ．２階,－,197812,35.6854606,139.7323452
200351,精密機器卸売,カボデンタルシステムズ（株）,東京都品川区北品川４－７－３５　御殿山トラストタワー１５階,0800-888-7480,198312,35.6221677,139.7370215
200617,鉄鋼・金属卸売,アレゲニー・テクノロジーズ・ジャパン（株）,東京都港区南青山２－２－３　ヒューリック青山外苑東通りビル５階,03-5770-3880,197110,35.6714265,139.7242502
200851,化学,ＡＳＫケミカルズジャパン（株）,神奈川県横浜市中区太田町４－５０　馬車道４５０ビル８階,045-227-8130,197312,35.4482885,139.636502
200993,ガラス・土石卸売,バカラパシフィック（株）,東京都港区虎ノ門１－２－８　虎ノ門琴平タワー２１階,03-5510-1451,198312,35.6695311,139.7483983
201228,化学,スリーエムジャパンプロダクツ（株）,東京都品川区北品川６－７－２９,03-6409-3800,197003,35.6237883,139.7338705
202198,化学,日本ペイント・オートモーティブコーティングス（株）,大阪府枚方市招提大谷２－１４－１,072-857-5530,197102,34.8347181,135.6959741
202395,精密機器卸売,エイエムオー・ジャパン（株）,東京都千代田区西神田３－５－２,03-4411-7800,198506,35.6982814,139.7528186
202559,他サービス,イー・エム・シー（株）,東京都中央区日本橋２－１３－１０　日本橋サンライズビル６階,03-3275-2333,198605,35.6804882,139.7755517
202611,貨物運送,フェデラルエクスプレスコーポレーション,千葉県千葉市美浜区中瀬２－６－１　ワールドビジネスガーデンマリブウエスト１０階,0120-003-200,197106,35.6488152,140.039604
202650,情報・システム・ソフト,ムーディーズ・ジャパン（株）,東京都港区愛宕２－５－１　愛宕グリーンヒルズＭＯＲＩタワー２０階,03-5408-4100,198504,35.6621409,139.7488929
204058,他サービス,ケイデンス・デザイン・システムズ（ジャパン）ビー・ヴィ,神奈川県横浜市港北区新横浜２－１００－４５　新横浜中央ビル１６階,045-475-2221,199703,35.507878,139.6174178
207114,輸送機器,ブローゼジャパン（株）,神奈川県横浜市西区みなとみらい３－７－１　オーシャンゲートみなとみらい１１階,050-3138-1390,199309,35.4580313,139.6343461
208103,他金融,タレットプレボン（株）,東京都港区赤坂２－１７－７　赤坂溜池タワー４階,03-5549-8100,198808,35.6711385,139.7392574
208500,情報・システム・ソフト,（株）ノートンライフロック,東京都港区赤坂１－１２－３２　アーク森ビル１２階,03-5114-4000,199409,35.6671134,139.740135
208638,情報・システム・ソフト,ＧＥデジタル・ジャパン（株）,東京都港区赤坂５－２－２０　赤坂パークビル,03-5544-3955,199403,35.6722095,139.7333495
208663,化学,アフトンケミカル・ジャパン（株）,東京都千代田区平河町２－１６－１　平河町森タワー７階,03-5210-4862,199202,35.6796395,139.7414382
209691,情報・システム・ソフト,ジェネシスクラウドサービス（株）,東京都港区虎ノ門４－１－１　神谷町トラストタワー２３階ＷｅＷｏｒｋ内,03-5989-1300,199705,35.6650161,139.7454071
209712,情報・システム・ソフト,スタンダード・アンド・プアーズ・インターナショナル・エル・エル・シー（日本支店）,東京都千代田区丸の内１－６－５　丸の内北口ビル２８階,03-4550-8000,198512,35.683938,139.7668852
209803,その他卸売,（株）フォッシルジャパン,東京都豊島区東池袋３－１－１　サンシャイン６０　１５階,03-4520-2366,199404,35.7284262,139.7205921
210121,機械卸売,ビデオジェット・エックスライト（株）,東京都江東区青海２－５－１０　テレコムセンタービル西棟６階,03-4578-1794,199112,35.6170886,139.7800651
210336,機械,ヴィッテンシュタイン・ターナリー（株）,長野県上田市古里９９－５,0268-29-4620,200001,36.4012867,138.2846419
210338,輸送機器,コンチネンタル・オートモーティブ（株）,神奈川県横浜市神奈川区新浦島町１－１－３２　ニューステージ横浜ビル,045-444-3600,200012,35.4798768,139.6440136
220089,銀行,（株）東京スター銀行,東京都港区赤坂２－３－５,03-3586-3111,200101,35.6713164,139.7416758
220417,輸送機器,日産車体（株）,神奈川県平塚市堤町２－１,0463-21-8001,194904,35.3382825,139.3597209
220421,輸送機器,愛知機械工業（株）,愛知県名古屋市熱田区川並町２－１２,052-681-1111,194905,35.1334426,136.8956755
220431,コンサルティング,日本タタ・コンサルタンシー・サービシズ（株）,東京都港区芝公園４－１－４,03-6736-7000,199604,35.6591406,139.7440765
220522,輸送機器,日産工機（株）,神奈川県高座郡寒川町岡田６－６－１,0467-75-1711,196409,35.3745522,139.3937995
220553,コンサルティング,（株）プラップジャパン,東京都港区赤坂１－１２－３２　アーク森ビル,03-4580-9111,197009,35.6671134,139.740135
220661,その他卸売,ラルフローレン合同会社,東京都千代田区永田町２－１０－１,03-5510-8900,200901,35.6748804,139.7412277
220796,医薬品,（株）中外医科学研究所,静岡県御殿場市駒門１－１３５,0550-87-5425,197204,35.2633736,138.9006212
220807,精密機器卸売,ノウルズ・エレクトロニクス・ジャパン（株）,東京都世田谷区三軒茶屋２－２－１６　ＹＫビル５階,03-5779-8503,198903,35.6408055,139.6682885
220832,レジャー・娯楽,ＮＢＣユニバーサル・エンターテイメントジャパン合同会社,東京都港区愛宕２－５－１　愛宕グリーンヒルズＭＯＲＩタワー８階,－,200109,35.6621409,139.7488929
220945,投信・投資顧問,モーニングスター・アセット・マネジメント（株）,東京都港区六本木１－６－１　泉ガーデンタワー１５階,03-6229-0811,200105,35.664573,139.7395626
222029,その他卸売,イケア・ジャパン（株）,千葉県船橋市浜町２－３－３０　５階,047-436-1009,200207,35.6817357,139.9921427
222175,情報・システム・ソフト,日本瑞友テクノロジー（株）,東京都台東区駒形２－４－１１　ヨシクニ駒形ビル５階,03-5806-1921,200401,35.7062823,139.7946687
222269,食料品卸売,ダニスコジャパン（株）,東京都千代田区永田町２－１１－１　山王パークタワー１０階,03-6550-9605,198308,35.6731479,139.7406938
224068,情報・システム・ソフト,（株）アマデウス・ジャパン,東京都中央区日本橋２－５－１,03-4560-3700,200409,35.6814721,139.7738269
224070,コンサルティング,サヴィルズ・ジャパン（株）,東京都千代田区有楽町２－７－１　有楽町イトシア１５階,03-6777-5100,200408,35.6740999,139.7635067
224072,情報・システム・ソフト,ＶＭｗａｒｅ（株）,東京都港区芝浦３－１－１　田町ステーションタワーＮ１８階,03-4334-5600,200305,35.6447514,139.7493165
224122,機械,不二空機（株）,大阪府大阪市東成区神路２－１－１４,06-6972-2331,194306,34.6762297,135.5542084
224125,情報・システム・ソフト,ＦＰＴジャパンホールディングス（株）,東京都港区芝公園１－７－６　ＫＤＸ浜松町プレイス６階,03-6634-6868,200511,35.6579448,139.7523917
224134,化学卸売,神東アクサルタコーティングシステムズ（株）,東京都江東区東陽３－２３－２２　東陽プラザビル５階,03-5690-0561,199705,35.6697285,139.8141868
224137,情報・システム・ソフト,テックマヒンドラ・リミテッド（日本支店）,東京都港区虎ノ門５－１３－１　虎ノ門４０ＭＴビル６階,03-6402-5921,199900,35.6633809,139.7457635
224302,その他卸売,（株）ジョージ・マタイ・ジャパン,東京都港区南青山５－４－２９　伊万里南青山ビル２階,03-6419-2770,199807,35.6621225,139.714765
224327,コンサルティング,ホーガン・ロヴェルズ法律事務所外国法共同事業,東京都千代田区霞が関１－４－２　大同生命霞が関ビル１５階,03-5157-8200,199011,35.670493,139.7515123
224373,食料品卸売,バリラジャパン（株）,東京都千代田区平河町２－７－３　ＰＭＯ平河町ビル９階,03-3230-8301,199711,35.6790946,139.7402503
224519,情報・システム・ソフト,ＩＨＳマークイットジャパン合同会社,東京都中央区京橋３－１－１　東京スクエアガーデン１２階,03-6262-1700,201810,35.6760575,139.768882
224557,電気機器卸売,セムテック・ジャパン合同会社,東京都中央区京橋３－７－５,03-6670-6526,199612,35.6756561,139.7704542
225044,その他卸売,日本グッドイヤー（株）,東京都港区赤坂１－９－１３　三会堂ビル３階,03-5572-8235,195201,35.6697898,139.7441678
225057,その他卸売,スリーエムジャパン（株）,東京都品川区北品川６－７－２９,0570-022-123,199211,35.6237883,139.7338705
225071,化学,ＤＳＬ．ジャパン（株）,東京都新宿区西新宿２－３－１　新宿モノリス１２階,03-5323-7423,200308,35.6886159,139.6945675
225072,他サービス,ティーペック（株）,東京都台東区上野５－６－１０　ＨＦ上野ビル,03-3839-1100,198906,35.7039464,139.7755517
225119,医薬品,パレクセル・インターナショナル（株）,東京都中央区新川１－２１－２　茅場町タワー１３階,03-3537-5899,199710,35.6770632,139.7858972
229056,他金融,日産ファイナンス（株）,神奈川県横浜市西区高島１－１－１,045-523-5457,198708,35.462995,139.6255452
360165,貸金・信販・カード,（株）東京スター・ビジネス・ファイナンス,東京都新宿区西新宿２－７－１　小田急第一生命ビル１０階,03-5339-5321,197912,35.6915156,139.6913635
380006,証券,シティグループ・ジャパン・ホールディングス合同会社,東京都千代田区大手町１－１－１　大手町パークビルディング,03-6776-6600,199107,35.6866068,139.7628234
381175,電気機器卸売,ｄｔｓ　Ｊａｐａｎ（株）,東京都千代田区丸の内１－８－１　丸の内トラストタワーＮ館１２階,03-5365-3780,200401,35.6832253,139.7697606
392553,他小売,インビザライン・ジャパン（株）,東京都品川区上大崎３－１－１,0120-944-187,200205,35.6335701,139.7162097
392559,コンサルティング,クロール（株）,東京都千代田区内幸町２－２－２　富国生命ビル２２階,03-3593-0101,200602,35.6705752,139.7553851
392600,損害保険,Ｃｈｕｂｂ少額短期保険（株）,東京都品川区北品川６－７－２９　ガーデンシティ品川御殿山,03-6364-7300,200610,35.6239862,139.7333701
392631,機械,サンドビックツーリングサプライジャパン（株）,宮城県栗原市瀬峰新田沢２４,0228-38-3155,197609,38.667584,141.0750903
392642,化学卸売,ロックウッドリチウムジャパン（株）,東京都港区赤坂７－１－１　青山安田ビル１１階,03-6434-5634,199403,35.6744716,139.7306754
392680,その他卸売,フィッシャー・ジャパン（株）,東京都千代田区九段南３－４－１５　プロンテ九段ビル３階,03-3263-4491,200701,35.6922513,139.7420303
392706,情報・システム・ソフト,ニュータッチイノベーション（株）,東京都港区芝１－９－３　芝マツラビル４階,03-6809-4521,200501,35.6514562,139.7550235
392838,機械卸売,グラボテック（株）,兵庫県西宮市高畑町１－２５,0798-63-6282,199902,34.7399007,135.3605394
392841,旅行,（株）ＨＡＮＡＴＯＵＲ　ＪＡＰＡＮ,東京都新宿区新宿２－３－１５　大橋御苑ビル,03-6629-4760,200509,35.6889481,139.7083298
402862,情報・システム・ソフト,Ｓａｓｋｅｎ　Ｔｅｃｈｎｏｌｏｇｉｅｓ　Ｌｔｄ．（日本支社）,東京都港区港南２－１５－１　品川インターシティＡ棟２８階,03-6717-6790,201210,35.627518,139.7420043
402864,情報・システム・ソフト,エスアールエムテクノロジーズプライベートリミテッド（日本支社）,東京都江東区木場２－７－１５　第一びる別館北棟６階,03-5941-5840,199905,35.6701736,139.8042911
402879,その他卸売,フィスラージャパン（株）,東京都千代田区神田錦町２－２－１　ＫＡＮＤＡ　ＳＱＵＡＲＥ１１階,03-6275-0750,198709,35.6931252,139.7632042
402880,その他卸売,（株）エコーネス,東京都中央区京橋３－７－５　近鉄京橋スクエア５階,03-3538-1411,200303,35.675572,139.770437
402934,食料品,オレンジベイフーズ（株）,愛媛県八幡浜市保内町宮内１－２８９－１,0894-36-1338,200905,33.4833532,132.4076468
402949,情報・システム・ソフト,アルデック・ジャパン（株）,東京都品川区東五反田１－７－１１　ＡＩＯＳ五反田アネックス４階,03-6277-2850,200704,35.6276574,139.7262855
402964,機械卸売,ケーエッチエス・ジャパン（株）,大阪府大阪市淀川区十八条３－９－３５　秀幸産業第一倉庫,06-6150-1001,199011,34.7469551,135.4882871
402965,機械卸売,ジョンソンヘルステックジャパン（株）,東京都港区海岸３－９－１５　Ｌｏｏｐ－Ｘビル７階,03-5419-3560,200403,35.6386114,139.7540359
402977,コンサルティング,チャールス・テイラー・ジャパン（株）,東京都千代田区神田錦町２－１－８　竹橋ビル６階,03-3518-9601,197504,35.6924506,139.7634709
402982,食料品卸売,（株）五星コーポレーション,埼玉県さいたま市桜区町谷４－１４－１５,048-430-0055,199905,35.8543551,139.6203696
403012,他小売,インターフォージャパンリミテッド（日本支社）,東京都中央区日本橋人形町１－７－７　笠原ビル６階,03-5641-2351,193607,35.6849651,139.7825617
403019,化学卸売,ケムトレンドジャパン（株）,兵庫県神戸市中央区東川崎町１－３－３　神戸ハーバーランドセンタービルオフィス棟１６階,078-361-9700,200106,34.6788737,135.1806595
403026,情報・システム・ソフト,ノキアソリューションズ＆ネットワークス合同会社,東京都港区六本木６－１０－１　六本木ヒルズ森タワー,03-5474-6400,198904,35.6607345,139.7292066
403031,情報・システム・ソフト,パロアルトネットワークス（株）,東京都千代田区内幸町２－１－６　日比谷パークフロント１５階,03-6205-8061,200906,35.6708752,139.7536284
403058,電気機器卸売,日本ラントロニクス（株）,東京都港区虎ノ門４－３－１　城山トラストタワー東京赤坂法律事務所内,－,200302,35.6646397,139.7430889
403068,食料品卸売,ケミン・ジャパン（株）,東京都千代田区五番町１２　五番町Ｋビル４階,03-3239-2521,200008,35.6895364,139.7337686
403074,情報・システム・ソフト,クエスト・ソフトウェア（株）,東京都新宿区西新宿６－１０－１　日土地西新宿ビル１３階,03-5908-3505,199802,35.6946036,139.6907536
403111,その他卸売,バウシュ咬合紙ジャパン（株）,大阪府池田市城南１－４－２,072-737-9501,200707,34.8220412,135.4292219
403117,情報・システム・ソフト,ＴＳ　ＩＭＡＧＩＮＥ　Ｊａｐａｎ（株）,東京都港区六本木２－２－８　オーキッドプレイス六本木６階,03-6704-4334,200708,35.6672608,139.7387344
403125,情報・システム・ソフト,ｃｏｃｏｎｅ　ｆｕｋｕｏｋａ（株）,福岡県福岡市博多区博多駅東２－１３－３４　エコービル４階,－,200901,33.58859582,130.4271646
403139,航空,ガルーダ・インドネシア（東京支店）,東京都千代田区丸の内３－３－１　新東京ビル,03-3240-6152,196200,35.677514,139.7624926
403145,海運,ストルトニールセン・ジャパン（株）,東京都港区芝公園３－１－１３　アーバン芝公園ビル４階,03-6841-7001,199501,35.6604738,139.7486112
403162,通信・放送,アイピースタージャパン（株）,東京都新宿区西新宿２－７－１　小田急第一生命ビル,03-6279-0932,201304,35.6915156,139.6913635
403165,他サービス,（株）クリムゾンインタラクティブ・ジャパン,東京都千代田区外神田２－１４－１０　第２電波ビル４階,03-3525-8001,200904,35.7024481,139.7691397
403169,映像・音楽,Ｄａｇｍｕｓｉｃ（有）,東京都中野区弥生町４－３５－２,－,200407,35.6889539,139.6705703
403175,他サービス,Ｓｔｒａｋｅｒ　Ｊａｐａｎ（株）,東京都新宿区西新宿１－２６－２　新宿野村ビル３２階,03-5322-1334,200305,35.6929509,139.6953653
403192,情報・システム・ソフト,リバーベッド・テクノロジー（株）,神奈川県横浜市西区みなとみらい３－７－１　オーシャンゲートみなとみらい８階,－,200512,35.4580313,139.6343461
403193,情報・システム・ソフト,ビューロー・ヴァン・ダイク・エレクトロニック・パブリッシング（株）,東京都港区愛宕２－５－１　愛宕グリーンヒルズＭＯＲＩタワー２０階,03-5708-4280,201004,35.6621409,139.7488929
403196,情報・システム・ソフト,情報テクノロジー（株）,東京都港区虎ノ門５－１３－１　虎ノ門４０ＭＴビル７階,03-4540-6123,199909,35.6633809,139.7457635
403202,情報・システム・ソフト,エメッセリーコンピューターソリューションズ（株）,東京都中野区東中野３－１９－１３　ビューステージ鈴木２階,03-3365-1978,199711,35.7088152,139.6802302
403203,情報・システム・ソフト,（株）エヌフォー,東京都渋谷区千駄ケ谷３－１３－２２　第２５宮廷マンション９０１,03-5411-7738,199407,35.676844,139.7059165
403206,情報・システム・ソフト,Ｈｙｐｏｔｉｚｅ（株）,神奈川県三浦市初声町下宮田１６０－２,046-876-6777,200605,35.1682861,139.6386936
403209,他サービス,Ｐ．Ｊ．　Ｐａｒｋｅｒ（株）,東京都三鷹市井の頭３－１７－２１,050-5532-3700,200107,35.6935683,139.5806433
403226,他小売,ＡＦＨ　Ｊａｐａｎ合同会社,東京都中央区銀座６－９－１０,03-6252-1892,200912,35.669641,139.7630316
403229,医薬品,ラボコープ・ディベロップメント・ジャパン（株）,東京都中央区晴海１－８－１１　晴海トリトンスクエアオフィスタワーＹ８階,03-6837-9500,200406,35.6573718,139.7827814
403236,ホテル,（株）イシン・ホテルズ・グループ,東京都中央区銀座１－２－３,－,200101,35.675156,139.7679055
403247,精密機器卸売,クックメディカルジャパン合同会社,東京都中野区中野４－１０－１　中野セントラルパークイースト,03-6853-9700,200406,35.7078871,139.6629152
403262,海運,フェドナヴアジアリミテッド（日本支店）,東京都港区愛宕２－５－１　愛宕グリーンヒルズＭＯＲＩタワー２５階,03-5401-5780,195606,35.6621409,139.7488929
403264,通信・放送,オービチューン（株）,東京都渋谷区渋谷１－２０－２１,03-6890-8669,199107,35.6625402,139.7034681
403270,コンサルティング,Ｋｉｎｇ　＆　Ｗｏｏｄ　Ｍａｌｌｅｓｏｎｓ法律事務所（外国法共同事業）,東京都千代田区丸の内３－２－３　丸の内二重橋ビル２１階,03-5218-6711,200501,35.6777775,139.7615096
403272,コンサルティング,中国専利代理（香港）（有）（東京事務所）,東京都中央区京橋２－７－１４　ビュレックス京橋ビル８１１,03-6263-2418,198901,35.6768545,139.7713181
403297,食料品卸売,デニッシュクラウン・ジャパン（株）,東京都港区虎ノ門５－１３－１　虎ノ門４０ＭＴビル９階,03-5404-4221,200705,35.6633809,139.7457635
403298,繊維・衣服卸売,エコー・ジャパン（株）,東京都千代田区永田町２－１０－３　東急キャピトルタワー１３階,－,200710,35.6739689,139.7407736
403301,広告,ネクスト・インク（株）,東京都港区三田２－１０－５　エルアルカサル三田２０２,03-6436-4270,198802,35.6507137,139.7445459
403309,情報・システム・ソフト,ファステムズ（株）,神奈川県横浜市鶴見区鶴見中央１－２３－１４　セザール第三鶴見３０１,－,200901,35.5093443,139.6797118
403336,精密機器卸売,日本マーチン（株）,東京都文京区西片１－１５－１５,03-3814-1431,199502,35.7121382,139.7530102
403338,投資業等,アリアンツ・グローバル・インベスターズ・ジャパン（株）,東京都港区六本木１－４－５　アークヒルズサウスタワー１９階,03-6229-0200,200404,35.6656056,139.7394165
403342,機械卸売,トムラ・ジャパン（株）,東京都中央区八丁堀４－８－２　いちご桜橋ビル２階,03-6222-9901,200807,35.6744204,139.7762107
403354,電気機器卸売,アルテミデ・ジャパン（株）,東京都渋谷区富ヶ谷１－４１－７　クリサンテ２０１３号室,03-5738-7410,200603,35.6664994,139.690958
403358,精密機器卸売,日本リマ（株）,東京都品川区東品川２－３－１４,03-5322-1115,200409,35.6241097,139.7505859
403368,石油・燃料卸売,日伯エタノール（株）,東京都中央区日本橋小舟町６－６　小倉ビル,03-3669-9500,200603,35.687208,139.7779082
403374,輸送用機器卸売,マレリ横浜（株）,神奈川県横浜市港北区新横浜２－３－１２　新横浜スクエアビル１３階,045-478-0045,200712,35.5079183,139.6151679
403382,精密機器,ハンナインスツルメンツ・ジャパン（株）,千葉県千葉市美浜区中瀬１－６　エム・ベイポイント幕張１４階－ＥＮ,043-216-2601,198806,35.6527967,140.0391412
403389,その他卸売,ＷＣＱジャパン（株）,神奈川県横浜市中区長者町５－８５　三共横浜ビル　９階,045-315-4541,200706,35.4422397,139.6322186
403392,機械卸売,シュネル・ジャパン（株）,大阪府大阪市北区中之島２－３－３３,06-6208-6603,199609,34.6936894,135.4974167
403401,情報・システム・ソフト,キングソフト（株）,東京都港区赤坂４－１５－１　赤坂ガーデンシティ４階,03-3582-8230,200503,35.6742711,139.7314575
403407,他サービス,イー・エフ・エデュケーション・ファースト・ジャパン（株）,東京都渋谷区渋谷２－１５－１　渋谷クロスタワー２７階,050-1743-1440,197305,35.6587806,139.705258
403415,電気機器卸売,クリーンエア・スカンジナビア（株）,東京都港区東新橋１－５－２　汐留シティセンター１０階,03-6274-6385,200808,35.6654972,139.7608806
403422,食料品卸売,マルレ（株）,東京都港区西新橋２－１９－４　喜助西新橋ビル６階,03-5733-5563,199701,35.6660464,139.7517618
403429,情報・システム・ソフト,エフティーエスイー・ジャパン・リミテッド（東京オフィス）,東京都千代田区大手町１－５－１　大手町ファーストスクエアイーストタワー１１階,03-4563-6346,200211,35.6857768,139.7640245
403441,食料品,（株）ウィスク・イー,東京都千代田区神田和泉町１－８－１１　４階,03-3863-1501,200009,35.699607,139.7773678
403468,投資業等,シーヴィーシー・アジア・パシフィック・ジャパン（株）,東京都千代田区霞が関３－２－５　霞が関ビル３２階,03-4563-9300,200512,35.671183,139.7472406
403482,情報・システム・ソフト,ウィプロ・ジャパン（株）,神奈川県横浜市西区みなとみらい２－２－１　横浜ランドマークタワー２６階,045-650-3950,199804,35.4545635,139.6314218
